"US Chief Financial Officers at PUBLIC COMPANIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Croom","Marshall","Marshall A Croom","IQ7020395","1960","58","Male","","Lowe's","40","Public Company","Consumer","  68,619.0 ","  76,897.6 ","  255,000 ","www.lowes.com","Chief Financial Officer","","Yes","3-Mar-17","1-Jan-97","  1.4 ","  21.6 ","Internal","Chief Risk Officer ","Other","Ernst & Young LLP","Technology","Partnership","Unknown","Other","32","1","None","Unknown","None","None","None","None","None","3","6","None","12","11","None","None","None","None","None","None","","32","None","None","None","11","None","US","32","None","None","None","None","None","None","None","None","None","Appalachian State University ","Accounting","1986","No","NA","NA","No","NA"
"","Sweet","Tom","Thomas (Tom) W Sweet","IQ314122865","1959","59","Male","","Dell Technologies","35","Private Company","Technology ","  78,660.0 ","0","  145,000 ","www.delltechnologies.com","Executive Vice President/Chief Financial Officer","","No","1-Jan-14","1-May-97","  4.6 ","  21.2 ","Internal","Vice President/Chief Accounting Officer/Controller 

 ","Accounting","Telos Corporation","Technology","Private","Vice President - Finance","Other","27","2","10","2","None","4","None","6","Unable to calculate","3","9","9","None","13","None","None","Unknown","None","None","None","Technology","None","None","None","None","37","None","US And Brazil ","24","None ","None ","3","None ","None ","None ","None ","None ","Executive Vice President and Chief Financial Officer, DELL TECHNOLOGIES INC , 2016 ","Western Michigan University  "," Business Administration & Accounting","1981","No","NA","NA","No","NA"
"","Hele","John","John C Hele","IQ216452364","1958","60","Male","Canadian","MetLife","43","Public Company","Healthcare ","  62,266.0 ","  46,849.2 ","  58,000 ","www.metlife.com","Senior Advisor","Yes","NA","4-Sep-12","4-Sep-12","  5.9 ","  5.9 ","Internal","NA","NA","ARCH CAPITAL GROUP LTD","Financial Services","Public","Executive Vice President/Chief Financial Officer and Treasurer","CFO/FD and Treasury","38","11","3","None","None","None","None","None","3","None","3","7","15","None","4","3","None","11","None","None","","None","26","6","None","4","None","US, Canada, Bermuda and Netherlands ","24","8","None","None","None","6","None","None","None","None","University of Waterloo ","Science ","1980","No","NA","NA","No","NA"
"","McCallion ","John","John D McCallion","","1974","44","Male","Unknown","MetLife","43","Public Company","Financial Services ","  62,266.0 ","  46,849.2 ","  58,000 ","www.metlife.com","Executive Vice President,Chief Financial Officer and Treasurer","","Yes","1-May-18","1-Jul-06","  0.2 ","  12.1 ","Internal","Executive Vice President/Treasurer ","Treasury","PricewaterhouseCoopers LLC","Technology","Private","Senior Manager, Audit, Financial Services","Other","22","None","None","2","None","None","4","None","3","None","None","7","15","10","4","None","None","11","None","None","","None","12","None","None","2","None","US","14","None","None","None","None","None","None","None","None","None","Syracuse University ","Science ","1996","Yes","Wharton School, University of Pennsylvania ","2009","No","NA"
"","Guertin","Shawn","Shawn M Guertin","IQ228987969","1963","55","Male","","Aetna","49","Public Company","Healthcare ","  60,535.0 ","  59,569.8 ","  47,950 ","www.aetna.com","Executive Vice President/Chief Financial Officer/Chief Enterprise Risk Officer","","No","25-Feb-13","1-Apr-11","  5.4 ","  7.3 ","Internal","Head - Finance ","Other","COVENTRY HEALTH CARE INC","Healthcare ","Public","Executive Vice President/Chief Financial Officer/Treasurer","Other","17","10","None","None","None","None","None","None","None","5","4","None","11","None","None","None","None","None","None","None","","None","None","24","None","None","None","US","32","None","None","None","None","None","None","None","None","None","Boston University","Arts","1985","No","NA","NA","No","NA"
"","Johnston","Hugh","Hugh F Johnston","IQ29458317","1961","57","Male","","PepsiCo","45","Public Company","Consumer","  63,525.0 ","  148,043.8 ","  263,000 ","www.pepsico.com","Vice Chairman/Executive Vice President/Chief Financial Officer","","Yes","1-Jan-12","1-Mar-02","  6.6 ","  16.4 ","Internal","Chief Financial Officer, PepsiCo Equal","Divisional CFO","GENERAL ELECTRIC CO","Industrial and Natural Resources ","Public","Financial Analyst, Financial Mgmt Program","Other","26","8","None","None","None","2","None","None","1","None","None","None","16","None","None","None","None","None","None","None","","27","None","3","12","None","None","US","34","None","None","None","None","None","None","None","None","None"," Syracuse University  ","Science","1983","Yes","University of Chicago ","1987","No","NA"
"","Young","Ray","Ray G Young","IQ115151843","1962","56","Male","American","Archer Daniels Midland","48","Public Company","Consumer","  60,828.0 ","  25,450.9 ","  31,300 ","www.adm.com","Executive Vice President/Chief Financial Officer","","No","28-Oct-10","28-Oct-10","  7.7 ","  7.7 ","External","NA","NA","General Motors Co","Industrial and Natural Resources ","Private","Division VP - Operations","Non-finance","22","8","None","None","None","2","None","None","None","4","6","None","12","None","None","6","None","None","None","None","Industrial and Natural Resources, Consumer","None","None","None","31","None","None","US, Singapore, Brazil, Switzerland, China, Canada ","35","None ","None ","3","None ","2","None ","4","None ","None"," Richard Ivey School of Business, University of Western Ontario (Ivey Business School)  ","Business Administration","1984","Yes","University of Chicago ","1986","No","NA"
"","Swan","Bob","Robert (Bob) Holmes Swan","IQ404319260","1960","58","Male","American","Intel","46","Public Company","Industrial and Natural Resources ","  62,761.0 ","  248,107.3 ","  102,700 ","www.intel.com","Executive Vice President/Chief Financial Officer","","No","10-Oct-16","10-Oct-16","  1.8 ","  1.8 ","External","NA","NA","General Atlantic LLC","Financial Services","Private","Operating Partner ","Non-finance","22.6","18","9","9","None","None","9","9","9","10","9","9","23","None","0.3","None","3","None","1","1","Technology, Industrial & Natural Resources, Financial Services, Consumer & Healthcare","2","1","1","14","14","None","US ","33","None ","None ","None ","None ","None ","None ","None ","None ","None","State University of New York, Buffalo (SUNYB)  ","Science","1983","Yes"," Binghamton University  ","1985","No","NA"
"","Falzon","Robert","Robert M. Falzon","IQ79709541","1959","59","Male","","Prudential Financial","52","Public Company","Healthcare","  61,158.0 ","  41,492.1 ","  49,705 ","www.prudential.com","Executive Vice President and Chief Financial Officer ","","Yes","4-Mar-13","1-Jan-83","  5.4 ","  35.6 ","Internal","Senior Vice President/Treasurer ","Treasury","NA","NA","NA","NA","NA","16","4","None","None","None","None","None","None","None","None","3","None","5","None","2","2","None","6","None","None","","None","34","None","None","None","None","US","34","None","None","None","None","None","None","None","None","None","State University of New Jersey, Rutgers (Rutgers University) ","Arts ","Unknown","Yes","Columbia University ","Unknown","No ","NA"
"","Dimond","Bob","Robert (Bob) B Dimond","IQ311235900","1962","56","Male","American","AB Acquisition (formerly Albertons Cos., which is now subsidiary)","53","Private Company","Consumer","  59,678.2 ","0","  280,000 ","www.albertsons.com","Executive Vice President/Chief Financial Officer","","No","24-Feb-14","24-Feb-14","  4.4 ","  4.4 ","External","NA","NA","NASH FINCH CO","Consumer","Public","Executive Vice President,Chief Financial Officer and Treasurer","CFO/FD","26","9","6","None","None","None","None","None","None","None","10","None","None","None","None","None","None","None","None","None","","25","None","None","None","None","None","US","31","None","None","None","None","None","None","None","None","None","Utah University ","Science","1981","No","NA","NA","No","NA"
"","Johri","Akhil","Akhil Johri","IQ129625152","1961","57","Male","","United Technologies","51","Public Company","Industrial and Natural Resources ","  59,837.0 ","  100,488.1 ","  204,700 ","www.utc.com","Executive Vice President/Chief Financial Officer","","No","1-Jan-15","1-Jan-15","  3.6 ","  3.6 ","External","NA","NA","PALL CORP","Industrial and Natural Resources ","Public","Chief Financial Officer","CFO/FD","21","6","4","None","None","5","5","4","None","1","None","None","8","None","None","None","None","None","None","None","","None","None","None","9","10","None","US","20","None","None","None","None","None","None","None","None","None","University of Rajasthan","Accounting","1982","Yes","Indian Institute of Management","1984","No","NA"
"","Griffith","Tim","Timothy (Tim) T Griffith","IQ138888252","1969","49","Male","","Marathon Petroleum","41","Public Company","Industrial and Natural Resources ","  67,294.0 ","  34,855.6 ","  43,800 ","www.marathonpetroleum.com","Senior Vice President/Chief Financial Officer","","Yes","3-Mar-15","1-Aug-11","  3.4 ","  7.0 ","Internal","Vice President/Treasurer","Treasury","SMURFIT-STONE CONTAINER CORP","Industrial and Natural Resources ","Public","VP/Treasurer ","Treasury","27","3","9","None","None","None","None","4","None","4","17","2","9","None","None","None","None","9","None","None","","None","8","None","19","None","None","US","27","None","None","None","None","None","None","None","None","None","Michigan State University  ","Economics","1991","Yes"," Stephen M Ross School of Business, University of Michigan  ","1997","No","NA"
"","McCarthy","Christine","Christine M McCarthy","IQ191609","1955","63","Female","American","Walt Disney","55","Public Company","Consumer","  55,137.0 ","  155,431.6 ","  199,000 ","www.thewaltdisneycompany.com","Senior Executive Vice President/Chief Financial Officer","","No","30-Jun-15","1-Jan-00","  3.1 ","  18.6 ","Internal","Executive Vice President/ Treasurer","Treasury","IMPERIAL BANCORP","Financial Services","Public","Executive Vice President/Chief Financial Officer","Treasury","36","6","3","None","None","None","12","None","None","None","15","None","3","None","None","None","None","None","None","None","","14","22","None","None","None","None","US","36","None","None","None","None","None","None","None","None","None","Smith College","Arts","1977","Yes","University of Claifornia ","1981","No","NA"
"","Kane","Brian","Brian A Kane","IQ265018897","1972","46","Male","","Humana","56","Public Company","Healthcare ","  53,767.0 ","  41,175.2 ","  45,900 ","www.humana.com","Senior Vice President/Chief Financial Officer","","No","1-Jun-14","1-Jun-14","  4.2 ","  4.2 ","External","NA","NA","GOLDMAN, SACHS & CO","Financial Services","Public","Managing Director, Consumer Retail Group","Non-finance","19","4","9","4","None","None","None","4","6","None","4","4","10","None","None","None","None","15","None","None","","None","15","4","None","None","None","US and UK","17","None","None","None","2","None","None","None","None","None","Stanford University
","Economics and Political Science","1995","Yes","Harvard University, Graduate School of Business","1999","No","NA"
"","D'Amelio","Frank","Frank A D'Amelio","IQ36629854","1957","61","Male","American","Pfizer","57","Public Company","Healthcare ","  52,546.0 ","  212,969.6 ","  90,200 ","www.pfizer.com","Executive Vice President/Chief Financial Officer","","Yes","10-Sep-07","10-Sep-07","  10.9 ","  10.9 ","External","NA","NA","ALCATEL-LUCENT SA","Technology","Public","SExecutive Vice President/Chief Administrative Officer","Non-finance","15","10","2","None","None","None","None","None","None","None","None","None","17","None","None","None","None","Unable to Calculate ","None","None","","None","None","10","None","28","None","US","29","None","None","None","None","None","None","None","None","None","Saint Peters College","Accounting","1979","Yes","Saint Johns University","1983","No","NA"
